"Area","Boro","AreaType","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01"
"NYC","All","City","713887.5","702500","650000","670000","655931","660000","650000","675000","6e+05","660536","682841","675000","665000","627500","699000","585493","750000","725000","650000","649500","620000","675000","650000","635000","605000","646588","655000","674000","695000","685000","681159","625000","575000","582728.5","606500","615000","630000","697501","665000","720000","725000","675000","649000","657300","651680","699000","625000","638817.5","689500","765000","772000","735000","765000","710000","697000","660000","665000","725000","750000","726250","675000","7e+05","735000","708000","721524","7e+05","660000","644139.5","670000","676118","702500","660000","650000","7e+05","695000","755000","725000","7e+05","749250","740000","789000","788321.5","810000","750000","750000","749000","840000","790000","805000","782000","762500","780000"
"Manhattan","Manhattan","Borough","922500","819691","765000","799326","760632","799163","747000","825000","720000","792000","834500","813500","832482.5","790000","875000","720000","911562.5","890000","795000","835000","829873","910000","850000","750000","838200","840000","807500","845000","850000","850000","825000","766389","765000","725000","799000","786831","815000","867000","804708.5","870000","885000","830000","788175.5","835000","802000","855000","750000","765331","897000","949750","925000","875000","890000","829000","872312.5","814248.5","885000","946500","950000","895000","848250","870000","919500","899000","892500","840000","885000","9e+05","9e+05","960000","985000","930000","938000","934753","962500","1050000","950000","999000","1100000","1070000","1150000","1115000","1128372.5","1167500","1017231","965659.5","1175000","1014490","1072500","990000","975000","999000"
"All Downtown","Manhattan","Submarket","1099855","972534","9e+05","938395","875000","900575.5","850000","914000","830000","865512","9e+05","9e+05","1125000","1092072.5","916425","915500","1150000","1026250","997885","1050000","857500","1055000","1195000","836400","1045000","910000","861500","821320","961500","882500","845000","827500","850000","875000","920712.5","830000","987102","941094.5","959500","955000","996866","1058980","853415","897500","863750","925000","882500","886000","1275000","1199000","1180000","970000","1080000","910000","999000","947500","1075000","1381250","1246178","1140000","999250","957155","1088521","1250000","1090000","998500","1122537.5","1145000","1300000","1276451.5","1445915","1215000","1190000","1150000","1185000","1367500","1500000","1207500","1500000","1624108","1557500","1717500","1650000","1665056","1437820.5","1326816.5","1451006","1350000","1370000","1400000","1650000","1310000"
"All Midtown","Manhattan","Submarket","578500","670000","740000","661862","664178.5","661228","630000","702500","652500","690000","706812.5","645000","612500","687500","767525","602500","780000","751752.5","725000","770000","752500","775000","680000","700787","592000","760000","748500","729000","727250","765000","720000","667500","573750","690000","766745","703550","627500","784000","715000","710000","840000","653000","650000","805000","705000","815000","737500","722500","663750","773513","887000","8e+05","775000","776250","8e+05","675000","725000","787500","716250","733500","730000","715000","792500","751000","780000","742000","756000","785000","753505","800651.5","850000","830000","875364","890968","870603","852619","860000","856797.5","995000","810000","1000784","9e+05","1099000","825000","884000","732000","980000","875000","759000","767500","835000","872500"
"All Upper West Side","Manhattan","Submarket","890000","872250","697500","782500","850000","895000","904175","909297","848000","852000","925000","890000","770000","847500","920000","795000","975000","960000","8e+05","920000","903250","967000","836250","870000","802500","914500","875000","949000","919425","1017500","1005000","995000","997000","860000","755630","1039000","880000","977500","878850","995000","957500","868500","9e+05","899000","950000","955000","790000","750000","999500","991000","950000","955000","997000","961500","995000","905000","1005500","999800","1116077","992793","1040000","1130000","975000","978000","1053988","987250","1075000","915406","848500","1006940","957500","1110000","775000","925050","1095000","1325000","1060000","1140000","1250000","1297000","1435457.5","1356000","1110037.5","1075000","1145000","990000","1008499.5","1026320","1250000","1187500","960000","998499"
"All Upper East Side","Manhattan","Submarket","1217500","816500","820000","997885","867500","775000","715000","875000","827500","860000","972000","875000","1070000","854130","1210000","870000","1137500","1072500","865000","832500","935000","1125000","1017500","760000","1240000","997000","875000","1045000","1019000","973750","873500","920000","860000","687318","932500","820000","1147500","1074500","792500","1175000","917500","955000","855000","830500","877500","940000","755000","818000","984875","980000","967000","939000","890968","842500","888179.5","832500","1019750","1300000","1050000","1017500","939000","950000","997500","975000","1150000","925750","996000","1075000","899000","965000","957500","895000","1360000","960000","1100000","1242500","1034353","1145000","990000","970000","1024985.5","997000","950000","1450500","1175000","1066027","1250000","1198221.5","1189316","970000","994062.5","1270000"
"All Upper Manhattan","Manhattan","Submarket","450000","476580","439000","490317.5","453765","463325","4e+05","540000","425880","440000","440000","4e+05","413500","331071","365964","456300","494789","406000","469500","465000","425000","426881","430000","365000","425000","415000","485000","470860","479334","439000","481662.5","460844.5","417905","422000","391968.5","433022.5","405300","478832","437500","425475","499000","427000","388333","419970","455000","475000","438675","402500","365000","404000","509000","424207.5","440000","415099","399000","380000","404835","374500","375000","405000","483952.5","425000","498944","487000","529126","400530","443297.5","517000","542909.5","510000","567564","490000","567674.5","566250","515000","510999","484776","500500","507000","587500","465000","505000","476680","554500","402293","518681","515000","520000","525000","546000","465000","490000"
"Bronx","Bronx","Borough","3e+05","392925","397995","289000","372000","269000","232500","238500","291000","318125","305000","2e+05","234320","206000","226000","272950","332500","272500","282250","210000","245000","380000","235000","241250","218000","340000","200450","235000","230000","262500","276500","250000","308750","260000","272500","255800","149000","272500","223000","170000","205000","240000","229000","290000","281250","185000","223612.5","237000","230500","230000","2e+05","222500","247000","234000","250000","210750","226750","265000","230000","197500","178500","205000","190000","272249","215000","235000","239000","185000","232500","244250","229000","230000","292500","217500","280000","283451.5","246000","250000","250000","265000","207500","222500","245000","227500","237500","253250","225000","239000","234000","230000","274500","308750"
"Brooklyn","Brooklyn","Borough","540000","506026.5","453194","490000","480825","460000","485000","445146","435000","460000","490000","485353","512837.5","465000","460000","450000","489197.5","524699","499500","456645.5","409500","465000","487500","475000","456020","462000","524872.5","515000","532500","485875","530985.5","446160","457643","467454","425880","460000","415335","481651","540000","590585","540000","519500","539836","499500","525000","501930","540000","492145","477500","494975","495000","535000","577292.5","564128","495000","475000","499000","555009","493000","485000","470000","530000","560224","496860","6e+05","560000","536500","517500","570000","545000","585000","529490","620000","584500","620668.5","618000","683613.5","602750","622500","609000","650000","640000","675000","646802","585493","676000","676350","725000","722957","690000","715000","692500"
"North Brooklyn","Brooklyn","Submarket","580000","532035","544327","542132","549855","564110","595000","717500","562473","636406","555000","550873","656771","500930","626223.5","492500","510000","552000","617792.5","540000","575306","578000","560000","581500","525000","499000","537500","539776.5","596356","548775","588500","519000","595676","550000","501465","522199","595676","544763","624696","677000","648340","672504","739999","655000","599000","673000","741000","688964","693000","755000","722000","717405.5","825000","797300","805000","832000","867500","865000","781250","866000","785000","1099033","826000","925000","870000","1012000","840000","975000","949000","885000","1042500","834290.5","902500","910000","998903","930800","1147993.5","883750","992500","947500","986684","852775","980000","855000","816636","950000","995000","1143500","836186.5","985000","1015658","1145000"
"Northwest Brooklyn","Brooklyn","Submarket","650000","590000","570220","620000","560018.5","550000","560037","500930","5e+05","619305.5","6e+05","599000","567055","534973","575000","527000","645376.5","527985.5","620000","475000","398500","427500","468500","572500","507000","502499.5","625000","582500","625000","572450","659011.5","501250","510000","514608","465225","523495","655000","612987","680000","809754","667000","630000","651680","575311","657500","623066","698385.5","743500","681209","597500","645000","710000","765000","785000","669000","627000","705000","705000","746661","750000","705000","755000","849000","691000","704230","809836.5","750000","770500","843500","772500","759000","889000","822500","914500","975000","770000","895000","822500","925000","875000","982500","932000","817500","787500","850000","949000","990972","999000","934125","1022500","950000","1043750"
